Apelido,Username,Data/Hora,Respondendo,Texto,link_img,Comentarios,Retweets,Likes
luis lagarto,@luislagarto,2021-01-19T02:25:02.000Z,"a ""vacina do brasil"", nas palavras de #jairtantan.",,https://pbs.twimg.com/media/EsD6CcwXAAAmJ13?format=png&name=small,,,
"Toda vida é importante, VACINA JÁ",@vivi2877,2021-01-19T00:55:44.000Z,"Música linda pros meus ouvidos #ForaBolsonaro
Isso é só o começo...
#QueremosImpeachment","Citar Tweet
Afonso Borges (máscara é a vacina da hora)
@afonsoborges
 · 5 h
Hoje, na Av. Djalma Batista, centro de Manaus. O refrão é uma música! Ouçam. Começou! A. 

#ImpeachmentDeBolsonaro 
#ForaBolsonaro
Mostrar esta sequência
1:09
36,8 mil visualizações",https://pbs.twimg.com/profile_images/1295887474120589318/HKbtNjQ6_mini.jpg,1,5,8
Welton Vilela,@vilela_welton,2021-01-19T00:53:18.000Z,"Vacina já está em solo mato grossense e logo logo estará gerando esperança em nosso povo 
#vacina #CoronaVac",,https://pbs.twimg.com/media/EsDlK27XEAIQMDD?format=jpg&name=small,,,1
Se_nos_é_de_Jacuípe_vei,@SeJacuipe,2021-01-19T01:20:20.000Z,"Eu achando que iria tomar a vacina, sendo que a vacina é pra maiores de 18 anos. 

EU VOU MORRER CARAAA",,https://pbs.twimg.com/media/EsDrW-cXUAIyGqr?format=jpg&name=small,,,1
Fabio,@Fabio53665845,2021-01-19T02:06:25.000Z,"Só louco para tomar isso 

Engraçado q os remédios q estão ajudando a salvar vidas anos de testes e comprovação funcional tinham contra indicações 
Agora uma porcaria de vacina q nem testada foi criada em meses essa não tem contra indicação kkkk palermas",,https://pbs.twimg.com/media/EsD15v9W8AgIeYV?format=jpg&name=small,,,
Elinalva Ferreira,@elinalvaferreir,2021-01-19T00:51:27.000Z,#JornalNacional vem em mim vacina ,,https://pbs.twimg.com/ext_tw_video_thumb/1351328985536471040/pu/img/4p8Bs1FKIHvPtG6g.jpg,,,2
David,@Davidnascunha,2021-01-19T01:45:10.000Z,Obrigado Senhor por essa vacina que vai salvar a nós todos.,,https://pbs.twimg.com/media/EsDxCsiXIAMJKRL?format=jpg&name=small,,,
Hugo Ramos,@hugoramosyout,2021-01-19T01:07:06.000Z,Eu depois de tomar a vacina kkkkkkkkkkkk,,https://pbs.twimg.com/media/EsDoVSLWMAAw_an?format=jpg&name=small,,,
VEM VACINA,@vinaquino_,2021-01-19T02:09:31.000Z,cloroquina é o caralho meu nome é zé gotinha porra,,https://pbs.twimg.com/media/EsD2nefXMAIKBII?format=jpg&name=360x360,,,3
Makevinho - Code: makevinho #ad,@Makevinho,2021-01-17T18:27:47.000Z,Vem vacina!!!!!,"Anvisa aprova uso emergencial das vacinas CoronaVac e AstraZeneca no Brasil
A Anvisa (Agência Nacional de Vigilância Sanitária) aprovou na tarde de hoje os pedidos de...
noticias.uol.com.br",https://pbs.twimg.com/card_img/1349251617699332098/K8qLXC4K?format=jpg&name=small,3,,13
Eduardo santos,@edwards765,2021-01-19T01:00:00.000Z,"O choro 
 não foi pela vacina 
 
#ForaDoria",,https://pbs.twimg.com/media/EsDms6KXIAA9855?format=jpg&name=small,,,
Alyson Rodrigues,@AlysonR15307609,2021-01-19T01:05:48.000Z,Eu depois de tomar a vacina do corongaviros kkkkkkkk,,https://pbs.twimg.com/ext_tw_video_thumb/1351334790612578304/pu/img/x7lwH8Sb77rUFdjA.jpg,,,1
EVERTINHO,@IM_Black10,2021-01-19T02:42:50.000Z,"""Lembre-se O Filme ""Eu Sou A Lenda"" No Ano De 2021 Dps De Uma Vacina Dar Errado, Todos Viraram Zumbi.""",,https://pbs.twimg.com/media/EsD-PTcXIAA6Yzc?format=jpg&name=small,,,
Tozza,@TozzaFla,2021-01-19T01:57:24.000Z,Vacina eu tomo! (ft. Craque Neto) 1h edition https://open.spotify.com/episode/1hoLapMniTkSUMJ2VZzUob?si=ssyjPzEHQwW670obgRtcAA… #NowPlaying,"Vacina eu tomo! (ft. Craque Neto) 1h edition - Medo e Delírio em Brasília - Central 3 Podcasts
open.spotify.com",https://pbs.twimg.com/card_img/1350920767047933953/J65Q0rTv?format=jpg&name=240x240,1,,3
"Julie de Áries
VEM VACINA",@heeyjuude27,2021-01-19T02:32:13.000Z,"eu falo de quem shippa Juke,mas eu lembrei que eu não tenho moral nenhuma pra falar pq eu shippava a Michelle Hathaway e o Ray(uma viva e um morto tb) ",,https://pbs.twimg.com/media/EsD7zbGW4AIciGm?format=jpg&name=small,,,
Thiago Roberto Siqueira,@Thiagodf2,2021-01-19T01:30:19.000Z,Quando me perguntam se eu vou tomar a vacina....,,https://pbs.twimg.com/media/EsDtpP6XUAA6Xa5?format=jpg&name=small,,,
JP Santa Cruz,@jp_santa,2021-01-19T02:43:57.000Z,"Temos a vacina, agora #QueremosImpeachment 

E o gado nesse momento?",,https://pbs.twimg.com/media/EsD-fmWXcAAmZuT?format=jpg&name=900x900,,,
Laerciop76,@laerciop76,2021-01-19T00:56:38.000Z,Breaking News relatos de efeitos colaterais da vacina,,https://pbs.twimg.com/media/EsDl7rxXcAAUFfO?format=jpg&name=small,,,
Janaina Citeli,@JanainaCiteli,2021-01-19T01:19:22.000Z,"A #vacina ? Nós temos!
#Niteroi zelando pela salvação do nosso estado #RJ

Sim... tomarei a vacina. Quer os bolsos queiram ou não. Xô ignorância! ",,https://pbs.twimg.com/ext_tw_video_thumb/1351337708594094081/pu/img/bNNZUGFLNWZFVPog.jpg,,,
"Alexa, me vacina",@mepoupejunior,2021-01-19T01:49:25.000Z,"Lá vem ela! 
 #VemVacina",,https://pbs.twimg.com/media/EsDyAknWMAQVGRi?format=jpg&name=900x900,,,1
José de Souza,@JosedeSouza04,2021-01-19T01:44:03.000Z,Mal chegou a vacina já liberaram o baile,,https://pbs.twimg.com/media/EsDwybBW4AI8UR5?format=jpg&name=small,,,
AJ Olivera,@Jay0liver,2021-01-19T02:03:45.000Z,"A vacina já chegou. Agora falta o Impeachment. Colabora aí 
@RodrigoMaia
 #QueremosImpeachment",,https://pbs.twimg.com/media/EsD1S_PXYAAPpIF?format=jpg&name=360x360,,,
Vacinação BR,@VacinacaoBR,2021-01-19T02:10:53.000Z,"Tudo pronto para o inicio da imunização em #PortoAlegre. Aplicação das primeiras doses da vacina contra a #Covid19 começa em instantes.

fonte/imagem: secretaria da saúde de Porto Alegre",,https://pbs.twimg.com/media/EsD27ibWMAIJN2U?format=jpg&name=small,,1,
