Apelido,Username,Data/Hora,Respondendo,Texto,link_img,Comentarios,Retweets,Likes
Andre RB,@AndreRicBrasil,2021-02-14T21:42:40.000Z,Pazuello anuncia força-tarefa para acelerar vacinação em Manaus - Agora Notícias Brasil,"Pazuello anuncia força-tarefa para acelerar vacinação em Manaus - Agora Notícias Brasil
Perspectiva é atingir a população com 50 anos de idade
agoranoticiasbrasil.com.br",https://pbs.twimg.com/card_img/1361014073027092486/R5NDFn_-?format=jpg&name=small,1,6,35
"Oi, eu sou o Henrido",@HenridoYT,2021-02-14T21:42:36.000Z,"Minha expectativa: 2020 pode ter crescimento economico

Coronavirus e política expansionista: certeza?",,https://pbs.twimg.com/media/EuN8c3oXYAArqVI?format=jpg&name=medium,2,1,14
𝐚𝐫𝐭𝐡𝐮𝐫,@littlebdarthur,2021-02-14T21:27:35.000Z,tá mais fácil a Jaque Patombá ganhar o BBB e arranjar vacina de covid pra menores de 18 anos do que sair a temporada 4 de Stranger Things,,https://pbs.twimg.com/media/EuN5A3nXEAMZrZo?format=jpg&name=small,,,
CORINTHIANO,@CORIN7H1AN0,2021-02-14T22:48:59.000Z,Não vamos Discutir com a Tecnologia Moderna.,,https://pbs.twimg.com/media/EuOLpBYXIAUOdxj?format=jpg&name=small,,,
SÍNDICO DA CIDADE,@SINDICODACIDADE,2021-02-14T22:52:10.000Z,"Desculpem o linguajar:
Corona Vírus o C*#
Isto aqui é Rio de Janeiro.",,https://pbs.twimg.com/ext_tw_video_thumb/1361085671675461638/pu/img/aAydGj_3kDzR4qak.jpg,8,12,33
Bruno Macedo,@BrunoMacedoPT,2021-02-14T22:16:04.000Z,"A vacina da Astrazeneca contra a #COVID19 tem mostrado baixa eficácia contra a variante B1351 
 q se tornou dominante na fase final de ensaios e influenciou os resultados finais de eficácia. A prevalência regional de variantes pode influenciar a vacinação
https://medrxiv.org/content/10.1101/2021.02.10.21251247v1…",,https://pbs.twimg.com/media/EuOEG-3XIAAw_S_?format=jpg&name=small,1,,
Fábio Perrucci,@fcperrucci,2021-02-14T23:43:52.000Z,"Acompanhamento da evolução da campanha de vacinação no Brasil:
#covid19brasil #covid #covid19 #saude #vacina #vacinaparatodosjá",,https://pbs.twimg.com/media/EuOYMsOXAAEcea9?format=png&name=small,,,1
Brasil 247,@brasil247,2021-02-14T22:11:57.000Z,"Para Fux, anulação da Lava Jato seria ""uma vergonha nacional"": ""O respeito ao STF vai para o esgoto""","Para Fux, anulação da Lava Jato seria ""uma vergonha nacional"": ""O respeito ao STF vai para o esgoto""
O presidente do STF afirmou que, caso a operação seja anulada após revelações das ilegalidades cometidas pelo ex-juiz Moro e a força-tarefa, ""o respeito ao STF vai para o esgoto”
brasil247.com",https://pbs.twimg.com/card_img/1360129834580639744/5jdYVG_D?format=jpg&name=small,718,380,1 mil
lumena desautorizou meu user,@lucmattias,2021-02-14T22:30:54.000Z,"Nossa, Faustão levou a Elba pra falar que corona foi inventado pelos comunistas?",GIF,https://pbs.twimg.com/tweet_video_thumb/EuOHf4YXIA4ay7B.jpg,,,
Trade News,@Fonte_TradeNews,2021-02-14T23:33:38.000Z,"++TN: Biden participa da reunião do G7 na sexta-feira:  https://tinyurl.com/y5g8bf94

#biden #coronavírus #g7",,https://pbs.twimg.com/media/EuOV3V-VEAARfAc?format=jpg&name=small,,,
Nivaldo TM,@AdsumP,2021-02-14T23:51:09.000Z,Anvisa visitará fábricas da Covaxin e da Sputnik V em março,"Anvisa visitará fábricas da Covaxin e da Sputnik V em março
A inspeção pode gerar o certificado de boas práticas, que é um dos requisitos para que fabricantes possam obter o registro da vacina
brasil247.com",https://pbs.twimg.com/card_img/1360338371151880194/mDbVCN4M?format=jpg&name=small,3,2,4
Quadril da Lady Gaga,@kittaovenomous,2021-02-14T23:50:31.000Z,"Saudade de um tempo que podia respirar e ser feliz sem máscara, seu corona de MERDA",,https://pbs.twimg.com/media/EuOZuWIXMAMlYmU?format=jpg&name=small,,,
Jorge Viana,@jorgeviana,2021-02-14T23:08:53.000Z,"Um texto realista e que fará parte da história desse genocídio....
A vacinação contra o coronavírus virou uma bagunça no Brasil - 13/02/2021 - Drauzio Varella - Folha","A vacinação contra o coronavírus virou uma bagunça no Brasil - 13/02/2021 - Drauzio Varella - Folha
Tem cabimento vacinar terapeutas e personal trainers antes dos mais velhos, que representam 70% dos mortos?
folha.uol.com.br",https://pbs.twimg.com/card_img/1360656764048269319/wzT1f4RR?format=jpg&name=small,,3,9
RAFAEL MAIA #PERSONAL,@rafaelmlPEF,2021-02-14T21:57:23.000Z,Sem vacina e com armas. Precisa desenhar?,,https://pbs.twimg.com/media/EuN_1IjXUAAe_Vv?format=jpg&name=medium,,,
Visão Remota,@RemotaVisao,2021-02-14T22:33:49.000Z," em vermelho pode ser o preludio da semana que vem !!! deus nós ajude... 
@oatila
 #pandemia #coronavirus Amazônia manaus #variante
minas gerais , são Paulo , acre , Roraima , goiás , paraíba Bahia  #lockdown #virus",,https://pbs.twimg.com/media/EuOHghHWQAAPSTe?format=jpg&name=small,1,6,7
A Crítica,@ACritica,2021-02-14T21:58:01.000Z,Total de mortes já é de 9.872. Outros 632 casos da doença foram confirmados no Estado,"AM registra 53 mortes por Covid-19 neste domingo (14) | Coronavírus
Total de mortes já é de 9.872. Outros 632 casos da doença foram confirmados no Estado
acritica.com",https://pbs.twimg.com/card_img/1361072186967158785/dI3soKbF?format=jpg&name=240x240,,1,17
